county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,680,638,0,1318,DEM,42,3.19,3.19,3.26,Tier 4: Opportunity (2.0-5.0%),0.4006079027355623
FORSYTH,802,NC COMMISSIONER OF INSURANCE,2024-11-05,728,683,0,1411,DEM,45,3.19,3.19,3.26,Tier 4: Opportunity (2.0-5.0%),0.4288753799392097
FORSYTH,132,CITY OF WINSTON-SALEM COUNCIL MEMBER NORTHWEST WARD,2024-11-05,1218,1142,0,2360,DEM,76,3.22,3.22,3.26,Tier 4: Opportunity (2.0-5.0%),0.7108433734939757
FORSYTH,802,NC STATE SENATE DISTRICT 32,2020-11-03,677,634,0,1311,DEM,43,3.28,3.28,3.35,Tier 4: Opportunity (2.0-5.0%),0.3878698224852071
FORSYTH,77,NC LIEUTENANT GOVERNOR,2024-11-05,1165,1091,0,2256,DEM,74,3.28,3.28,3.32,Tier 4: Opportunity (2.0-5.0%),0.6674556213017752
FORSYTH,131,NC GOVERNOR,2020-11-03,1452,1359,0,2811,DEM,93,3.31,3.31,3.34,Tier 4: Opportunity (2.0-5.0%),0.8243401759530791
FORSYTH,908,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,1214,1136,0,2350,DEM,78,3.32,3.32,3.36,Tier 4: Opportunity (2.0-5.0%),0.6871345029239766
FORSYTH,804,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,543,508,0,1051,DEM,35,3.33,3.33,3.42,Tier 4: Opportunity (2.0-5.0%),0.30641399416909615
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 10,2022-11-08,631,590,0,1221,DEM,41,3.36,3.36,3.43,Tier 4: Opportunity (2.0-5.0%),0.3528901734104047
FORSYTH,132,NC GOVERNOR,2020-11-03,1843,1723,0,3566,DEM,120,3.37,3.37,3.39,Tier 4: Opportunity (2.0-5.0%),1.0276657060518732
FORSYTH,74,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2020-11-03,1454,1358,0,2812,DEM,96,3.41,3.41,3.45,Tier 4: Opportunity (2.0-5.0%),0.8011396011396011
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 08,2022-11-08,631,589,0,1220,DEM,42,3.44,3.44,3.52,Tier 4: Opportunity (2.0-5.0%),0.3446327683615819
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,827,772,0,1599,DEM,55,3.44,3.44,3.5,Tier 4: Opportunity (2.0-5.0%),0.4516949152542373
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 11,2022-11-08,614,573,0,1187,DEM,41,3.45,3.45,3.53,Tier 4: Opportunity (2.0-5.0%),0.33436619718309857
FORSYTH,74,NC COMMISSIONER OF LABOR,2020-11-03,1452,1355,0,2807,DEM,97,3.46,3.46,3.49,Tier 4: Opportunity (2.0-5.0%),0.7884831460674158
FORSYTH,804,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,545,508,0,1053,DEM,37,3.51,3.51,3.6,Tier 4: Opportunity (2.0-5.0%),0.2916897506925208
FORSYTH,123,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,2282,2124,0,4406,DEM,158,3.59,3.59,3.61,Tier 4: Opportunity (2.0-5.0%),1.194037940379404
FORSYTH,806,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03,2022-11-08,621,578,0,1199,DEM,43,3.59,3.59,3.66,Tier 4: Opportunity (2.0-5.0%),0.32493224932249326
FORSYTH,807,NC ATTORNEY GENERAL,2020-11-03,850,791,0,1641,DEM,59,3.6,3.6,3.65,Tier 4: Opportunity (2.0-5.0%),0.4435135135135134
FORSYTH,42,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,3552,3303,0,6855,DEM,249,3.63,3.63,3.65,Tier 4: Opportunity (2.0-5.0%),1.8378016085790887
FORSYTH,131,NC SECRETARY OF STATE,2024-11-05,1586,1475,0,3061,DEM,111,3.63,3.63,3.66,Tier 4: Opportunity (2.0-5.0%),0.8206434316353888
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,814,757,0,1571,DEM,57,3.63,3.63,3.69,Tier 4: Opportunity (2.0-5.0%),0.42117962466487935
FORSYTH,74,US SENATE,2020-11-03,1423,1323,0,2746,DEM,100,3.64,3.64,3.68,Tier 4: Opportunity (2.0-5.0%),0.7342245989304812
FORSYTH,74,NC COMMISSIONER OF LABOR,2024-11-05,1494,1388,0,2882,DEM,106,3.68,3.68,3.71,Tier 4: Opportunity (2.0-5.0%),0.7624338624338625
FORSYTH,803,US SENATE,2022-11-08,645,599,0,1244,DEM,46,3.7,3.7,3.77,Tier 4: Opportunity (2.0-5.0%),0.3273684210526316
