county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,795,767,0,1562,DEM,28,1.79,1.79,1.85
FORSYTH,67,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,687,712,0,1399,REP,25,1.79,-1.79,1.86
FORSYTH,77,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1158,1117,0,2275,DEM,41,1.8,1.8,1.84
FORSYTH,131,NC LIEUTENANT GOVERNOR,2024-11-05,1520,1466,0,2986,DEM,54,1.81,1.81,1.84
FORSYTH,68,NC GOVERNOR,2024-11-05,1098,1059,0,2157,DEM,39,1.81,1.81,1.85
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,1434,1383,0,2817,DEM,51,1.81,1.81,1.84
FORSYTH,132,NC SECRETARY OF STATE,2020-11-03,1729,1793,0,3522,REP,64,1.82,-1.82,1.84
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,1194,1151,0,2345,DEM,43,1.83,1.83,1.87
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,1422,1371,0,2793,DEM,51,1.83,1.83,1.86
FORSYTH,77,US SENATE,2022-11-08,723,750,0,1473,REP,27,1.83,-1.83,1.9
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,584,606,0,1190,REP,22,1.85,-1.85,1.93
FORSYTH,42,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,828,798,0,1626,DEM,30,1.85,1.85,1.9
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,818,788,0,1606,DEM,30,1.87,1.87,1.93
FORSYTH,132,NC STATE SENATE DISTRICT 32,2022-11-08,1293,1343,0,2636,REP,50,1.9,-1.9,1.93
FORSYTH,61,FORSYTH COUNTY SHERIFF,2022-11-08,588,566,0,1154,DEM,22,1.91,1.91,1.99
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,796,766,0,1562,DEM,30,1.92,1.92,1.98
FORSYTH,74,NC ATTORNEY GENERAL,2020-11-03,1456,1401,0,2857,DEM,55,1.93,1.93,1.96
FORSYTH,804,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,528,508,0,1036,DEM,20,1.93,1.93,2.02
FORSYTH,802,US SENATE,2020-11-03,687,661,0,1348,DEM,26,1.93,1.93,2.0
FORSYTH,77,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,732,761,0,1493,REP,29,1.94,-1.94,2.01
FORSYTH,123,NC TREASURER,2020-11-03,1237,1190,0,2427,DEM,47,1.94,1.94,1.98
FORSYTH,74,NC COMMISSIONER OF INSURANCE,2020-11-03,1435,1380,0,2815,DEM,55,1.95,1.95,1.99
FORSYTH,132,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2024-11-05,4647,4832,0,9479,REP,185,1.95,-1.95,1.96
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,820,788,0,1608,DEM,32,1.99,1.99,2.05
FORSYTH,809,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1150,1197,0,2347,REP,47,2.0,-2.0,2.04
FORSYTH,11,NC GOVERNOR,2020-11-03,1923,2003,0,3926,REP,80,2.04,-2.04,2.06
FORSYTH,74,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,1439,1381,0,2820,DEM,58,2.06,2.06,2.09
FORSYTH,43,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1025,1069,0,2094,REP,44,2.1,-2.1,2.15
FORSYTH,908,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1180,1131,0,2311,DEM,49,2.12,2.12,2.16
FORSYTH,803,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,721,691,0,1412,DEM,30,2.12,2.12,2.19
FORSYTH,15,NC ATTORNEY GENERAL,2024-11-05,1701,1775,0,3476,REP,74,2.13,-2.13,2.16
FORSYTH,77,NC AUDITOR,2024-11-05,1082,1129,0,2211,REP,47,2.13,-2.13,2.17
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,1436,1376,0,2812,DEM,60,2.13,2.13,2.17
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,1192,1142,0,2334,DEM,50,2.14,2.14,2.18
FORSYTH,132,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1944,1862,0,3806,DEM,82,2.15,2.15,2.18
FORSYTH,52,NC LIEUTENANT GOVERNOR,2024-11-05,477,498,0,975,REP,21,2.15,-2.15,2.25
FORSYTH,52,US SENATE,2022-11-08,385,402,0,787,REP,17,2.16,-2.16,2.28
FORSYTH,16,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1184,1133,0,2317,DEM,51,2.2,2.2,2.24
FORSYTH,74,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1456,1393,0,2849,DEM,63,2.21,2.21,2.24
FORSYTH,73,NC GOVERNOR,2024-11-05,1337,1398,0,2735,REP,61,2.23,-2.23,2.27
FORSYTH,131,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1557,1489,0,3046,DEM,68,2.23,2.23,2.26
FORSYTH,43,NC SECRETARY OF STATE,2024-11-05,1030,1077,0,2107,REP,47,2.23,-2.23,2.28
FORSYTH,809,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1176,1124,0,2300,DEM,52,2.26,2.26,2.3
FORSYTH,802,NC LIEUTENANT GOVERNOR,2020-11-03,694,663,0,1357,DEM,31,2.28,2.28,2.35
FORSYTH,131,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05,2022-11-08,1048,1097,0,2145,REP,49,2.28,-2.28,2.33
FORSYTH,804,NC COMMISSIONER OF LABOR,2020-11-03,536,512,0,1048,DEM,24,2.29,2.29,2.38
FORSYTH,77,NC COMMISSIONER OF INSURANCE,2024-11-05,1108,1160,0,2268,REP,52,2.29,-2.29,2.33
FORSYTH,806,NC COMMISSIONER OF INSURANCE,2024-11-05,763,799,0,1562,REP,36,2.3,-2.3,2.37
FORSYTH,132,NC AUDITOR,2020-11-03,1712,1794,0,3506,REP,82,2.34,-2.34,2.37
FORSYTH,43,NC SECRETARY OF STATE,2020-11-03,1041,1092,0,2133,REP,51,2.39,-2.39,2.44
FORSYTH,74,NC LIEUTENANT GOVERNOR,2020-11-03,1454,1386,0,2840,DEM,68,2.39,2.39,2.43
FORSYTH,807,NC TREASURER,2020-11-03,788,827,0,1615,REP,39,2.41,-2.41,2.47
FORSYTH,135,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1370,1438,0,2808,REP,68,2.42,-2.42,2.46
FORSYTH,807,US HOUSE OF REPRESENTATIVES DISTRICT 05,2022-11-08,633,603,0,1236,DEM,30,2.43,2.43,2.5
FORSYTH,101,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,625,595,0,1220,DEM,30,2.46,2.46,2.54
FORSYTH,908,NC LIEUTENANT GOVERNOR,2020-11-03,1222,1163,0,2385,DEM,59,2.47,2.47,2.51
FORSYTH,807,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,831,791,0,1622,DEM,40,2.47,2.47,2.52
FORSYTH,807,NC COMMISSIONER OF LABOR,2020-11-03,827,787,0,1614,DEM,40,2.48,2.48,2.54
FORSYTH,803,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 02,2020-11-03,723,760,0,1483,REP,37,2.49,-2.49,2.56
FORSYTH,807,NC COMMISSIONER OF LABOR,2024-11-05,751,790,0,1541,REP,39,2.53,-2.53,2.59
FORSYTH,807,NC STATE SENATE DISTRICT 32,2020-11-03,828,787,0,1615,DEM,41,2.54,2.54,2.6
FORSYTH,809,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,1002,952,0,1954,DEM,50,2.56,2.56,2.61
FORSYTH,133,NC GOVERNOR,2020-11-03,2493,2624,0,5117,REP,131,2.56,-2.56,2.58
FORSYTH,74,NC STATE SENATE DISTRICT 32,2020-11-03,1441,1369,0,2810,DEM,72,2.56,2.56,2.6
FORSYTH,67,NC LIEUTENANT GOVERNOR,2024-11-05,660,695,0,1355,REP,35,2.58,-2.58,2.65
FORSYTH,43,NC LIEUTENANT GOVERNOR,2024-11-05,988,1041,0,2029,REP,53,2.61,-2.61,2.66
FORSYTH,101,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,2249,2134,0,4383,DEM,115,2.62,2.62,2.65
FORSYTH,43,US SENATE,2020-11-03,999,1053,0,2052,REP,54,2.63,-2.63,2.68
FORSYTH,806,NC COMMISSIONER OF LABOR,2024-11-05,755,796,0,1551,REP,41,2.64,-2.64,2.7
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,803,761,0,1564,DEM,42,2.69,2.69,2.75
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 11,2022-11-08,626,593,0,1219,DEM,33,2.71,2.71,2.78
FORSYTH,43,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1024,1081,0,2105,REP,57,2.71,-2.71,2.75
FORSYTH,77,NC STATE SENATE DISTRICT 31,2024-11-05,1104,1166,0,2270,REP,62,2.73,-2.73,2.77
FORSYTH,132,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05,2022-11-08,1292,1365,0,2657,REP,73,2.75,-2.75,2.78
FORSYTH,804,NC ATTORNEY GENERAL,2020-11-03,558,528,0,1086,DEM,30,2.76,2.76,2.85
FORSYTH,701,NC COMMISSIONER OF AGRICULTURE,2020-11-03,615,582,0,1197,DEM,33,2.76,2.76,2.84
